Year	SeaLevel
1927.2083	-31.48
1927.2917	-31.19
1927.375	-31.91
1927.4583	-32.75
1927.5417	-34.07
1927.625	-31.71
1927.7083	-34.17
1927.7917	-31.21
1927.875	-34.13
1927.9583	-36.9
1928.0417	-41.01
1928.125	-39.95
1928.2083	-37.53
1928.2917	-32.56
1928.375	-31.43
1928.4583	-27.39
1928.5417	-28.43
1928.625	-27.95
1928.7083	-30.94
1928.7917	-34.31
1928.875	-38.08
1928.9583	-37.48
1929.0417	-40.19
1929.125	-38.48
1929.2083	-41.15
1929.2917	-37.97
1929.375	-38.45
1929.4583	-34.03
1929.5417	-32.09
1929.625	-31.19
1929.7083	-33.56
1929.7917	-36.75
1929.875	-38.16
1929.9583	-39.72
1930.0417	-37.33
1930.125	-35.19
1930.2083	-34.88
1930.2917	-35.95
1930.375	-33.99
1930.4583	-28.43
1930.5417	-21.15
1930.625	-19.84
1930.7083	-21.02
1930.7917	-23.58
1930.875	-28.24
1930.9583	-30.71
1931.0417	-31.99
1931.125	-30.49
1931.2083	-27.52
1931.2917	-27.8
1931.375	-26.66
1931.4583	-29.02
1931.5417	-28.12
1931.625	-31.56
1931.7083	-29.14
1931.7917	-30.11
1931.875	-29.67
1931.9583	-28.72
1932.0417	-28.02
1932.125	-23.94
1932.2083	-25.29
1932.2917	-23.39
1932.375	-24.06
1932.4583	-23.01
1932.5417	-23.58
1932.625	-27.06
1932.7083	-25.25
1932.7917	-25.69
1932.875	-21.39
1932.9583	-21
1933.0417	-18.61
1933.125	-19.66
1933.2083	-19.18
1933.2917	-20.32
1933.375	-22.06
1933.4583	-21.63
1933.5417	-24.47
1933.625	-23.28
1933.7083	-24.39
1933.7917	-23.94
1933.875	-26.94
1933.9583	-26
1934.0417	-25.43
1934.125	-24.01
1934.2083	-23.77
1934.2917	-26.55
1934.375	-27.19
1934.4583	-32.07
1934.5417	-31.2
1934.625	-34.85
1934.7083	-30.8
1934.7917	-32.93
1934.875	-28.29
1934.9583	-27.08
1935.0417	-21.62
1935.125	-18.92
1935.2083	-16.78
1935.2917	-15.56
1935.375	-16.23
1935.4583	-16.62
1935.5417	-18.19
1935.625	-21.16
1935.7083	-23.4
1935.7917	-26.76
1935.875	-25.28
1935.9583	-23.54
1936.0417	-18.52
1936.125	-16.72
1936.2083	-20.28
